VentaID;Factura;Fecha_Orden;Fecha_Entrega;Fecha_Envio;Estado;Cliente_Code;Tipo_Cliente;Nombres;Apellidos;Vendedor;Departamento;Metodo_Pago;Subtotal
49443;SO49443;28/01/2024;09/02/2024;10/02/2024;5;29833 - 40109117;SC;Pam;Herrick;Tsvi Reiter;Cusco;Debito/Credito;67.539
50691;SO50691;30/04/2024;06/05/2024;06/05/2024;5;29833 - 40109117;SC;Pam;Herrick;Tsvi Reiter;Cusco;Debito/Credito;183.9382
49444;SO49444;28/01/2024;09/02/2024;09/02/2024;5;30106 - 80063228;SC;Michael;Vanderhyde;Michael Blythe;Piura;Debito/Credito;6509.2516
50736;SO50736;30/04/2024;09/05/2024;09/05/2024;5;30106 - 80063228;SC;Michael;Vanderhyde;Michael Blythe;Piura;Debito/Credito;5835.6552
49445;SO49445;28/01/2024;09/02/2024;09/02/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;2818.764
50658;SO50658;30/04/2024;13/05/2024;12/05/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;6107.322
53598;SO53598;31/07/2024;12/08/2024;12/08/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;3794.9789
59049;SO59049;30/10/2024;12/11/2024;12/11/2024;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;2227.386
65293;SO65293;29/01/2025;10/02/2025;10/02/2025;5;29781 - 90138817;SC;Guy;Gilbert;Linda Mitchell;Piura;Debito/Credito;3128.7791
49446;SO49446;28/01/2024;09/02/2024;09/02/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;13624.026
50706;SO50706;30/04/2024;12/05/2024;12/05/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;9913.52
53534;SO53534;31/07/2024;13/08/2024;12/08/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;12423.5249
58976;SO58976;30/10/2024;06/11/2024;06/11/2024;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;10376.3682
65152;SO65152;29/01/2025;11/02/2025;10/02/2025;5;29592 - 10851240071;SC;Kevin;Browne;Jillian Carson;Arequipa;Debito/Credito;11710.422
49447;SO49447;28/01/2024;09/02/2024;09/02/2024;5;29536 - 11209608;SC;Robert;Barker;Jillian Carson;La Libertad;Debito/Credito;107.988
50711;SO50711;30/04/2024;13/05/2024;12/05/2024;5;29536 - 11209608;SC;Robert;Barker;Jillian Carson;La Libertad;Debito/Credito;482.6262
49448;SO49448;28/01/2024;04/02/2024;04/02/2024;5;30003 - 49120086;SC;Yvonne;Mckay;Michael Blythe;La Libertad;Debito/Credito;1275.0469
50659;SO50659;30/04/2024;12/05/2024;12/05/2024;5;30003 - 49120086;SC;Yvonne;Mckay;Michael Blythe;La Libertad;Debito/Credito;1297.8409
49449;SO49449;28/01/2024;06/02/2024;06/02/2024;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;45.588
53457;SO53457;31/07/2024;09/08/2024;09/08/2024;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;47000.9618
58910;SO58910;30/10/2024;11/11/2024;11/11/2024;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;36336.306
65159;SO65159;29/01/2025;10/02/2025;10/02/2025;5;29622 - 8337348;SC;Henry;Campen;David Campbell;Lima;Debito/Credito;13573.704
49450;SO49450;28/01/2024;10/02/2024;09/02/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;32730.2215
50662;SO50662;30/04/2024;06/05/2024;06/05/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;33974.7691
53455;SO53455;31/07/2024;12/08/2024;12/08/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;31612.0704
